questionText,trlLevel,technologyType,category,toolTip
Industry feedback collected,6,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Regulatory preparation for breed registration or approval initiated,6,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Protocols standardized for propagation of new breed/strain,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Engagement with breeding partners or commercial operators,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Processing of Requirements for Bureau of Animal Industry (BAI) or Philippine Carabao Center (PCC) or National Dairy Authority (NDA) Approval/Certification,7,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Secure Letter of Intent for Licensing,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Business Plan crafted,7,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Stable and consistent breeding achieved at industry scale,8,New Animal Breed (Aquatic and Terrestrial),Technology Status,
BAI/PCC/NDA Approval/Certification Secured,8,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Fairness Opinion Review requested,8,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Technology Licensing Agreement signed,9,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
New animal breed fully commercialized/Breed commercially available to target users,9,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Concept Development or Breeding objectives identified,1,New Plant Variety (Conventional),Technology Status,
Potential end-users and target markets identified,1,New Plant Variety (Conventional),Market and Commercialization Status,
Germplasm Collected,2,New Plant Variety (Conventional),Technology Status,
"Plant genetics, traits, and breeding foundation reviewed",2,New Plant Variety (Conventional),Technology Status,
Target traits clearly identified,2,New Plant Variety (Conventional),Technology Status,
Breeding Planned Prepared,2,New Plant Variety (Conventional),Technology Status,
"Preliminary market requirements considered (trait relevance, consumer/end-user needs)",2,New Plant Variety (Conventional),Market and Commercialization Status,
Initial crosses or mutation events conducted,3,New Plant Variety (Conventional),Technology Status,
Progeny produced and screened for presence of target traits,3,New Plant Variety (Conventional),Technology Status,
Proof of Potential Economic Viability,3,New Plant Variety (Conventional),Market and Commercialization Status,
Progeny successfully grown under controlled conditions (greenhouse/screenhouse),4,New Plant Variety (Conventional),Technology Status,
Target traits confirmed in progeny,4,New Plant Variety (Conventional),Technology Status,
Early-stage feedback from potential seed users,4,New Plant Variety (Conventional),Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,New Plant Variety (Conventional),Industry Adoption Status,
Stable and pure lines selected,5,New Plant Variety (Conventional),Technology Status,
Preliminary field trials conducted in controlled plots,5,New Plant Variety (Conventional),Technology Status,
Field performance documentation prepared,5,New Plant Variety (Conventional),Technology Status,
Accomplished Initial Business Model Canvas (BMC),5,New Plant Variety (Conventional),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,5,New Plant Variety (Conventional),Market and Commercialization Status,
Market Research conducted,5,New Plant Variety (Conventional),Market and Commercialization Status,
Meetings with potential industry partners,5,New Plant Variety (Conventional),Industry Adoption Status,
Agreements with industry parters for product testing secured,6,New Plant Variety (Conventional),Industry Adoption Status,
Multi-location trials conducted to evaluate performance across environments,6,New Plant Variety (Conventional),Technology Status,
Engagement with seed growers for seed multiplication tests,6,New Plant Variety (Conventional),Industry Adoption Status,
Industry feedback collected,6,New Plant Variety (Conventional),Industry Adoption Status,
Regulatory preparation for variety registration initiated,6,New Plant Variety (Conventional),Regulatory Compliance Status,
Seed/plant materials production protocol standardized for commercial adoption,7,New Plant Variety (Conventional),Technology Status,
Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing,7,New Plant Variety (Conventional),Regulatory Compliance Status,
"Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)",7,New Plant Variety (Conventional),Regulatory Compliance Status,
Secure Letter of Intent for Licensing,7,New Plant Variety (Conventional),Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,New Plant Variety (Conventional),Industry Adoption Status,
Business Plan crafted,7,New Plant Variety (Conventional),Market and Commercialization Status,
Stable and consistent seed/plant production at industry scale achieved,8,New Plant Variety (Conventional),Industry Adoption Status,
Variety officially registered and released,8,New Plant Variety (Conventional),Regulatory Compliance Status,
Seed/plant certification or registration obtained,8,New Plant Variety (Conventional),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,New Plant Variety (Conventional),Industry Adoption Status,
Fairness Opinion Review requested,8,New Plant Variety (Conventional),Market and Commercialization Status,
Technology Licensing Agreement signed,9,New Plant Variety (Conventional),Industry Adoption Status,
New plant variety fully commercialized/Variety commercially available to target users,9,New Plant Variety (Conventional),Market and Commercialization Status,
Concept Development or Breeding objectives identified,1,New Plant Variety (Gene-Edited and GM),Technology Status,
Potential end-users and target markets identified,1,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Bioinformatic Analysis of Gene Function/In-silico Studies Conducted,1,New Plant Variety (Gene-Edited and GM),Technology Status,
Germplasm Collected,2,New Plant Variety (Gene-Edited and GM),Technology Status,
Marker Developed/Gene Identified,2,New Plant Variety (Gene-Edited and GM),Technology Status,
"Molecular Construct Planned (CRISPR, RNAi)",2,New Plant Variety (Gene-Edited and GM),Technology Status,
"Preliminary market requirements considered (relevance, consumer/end-user needs)",2,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Genetic Modification Designs Developed (CRISPR/RNAi Constructs),3,New Plant Variety (Gene-Edited and GM),Technology Status,
Transformation or Gene Editing in Laboratory or Growth Chamber Conducted,3,New Plant Variety (Gene-Edited and GM),Technology Status,
Controlled Enviroinmental Studies (please specify),3,New Plant Variety (Gene-Edited and GM),Technology Status,
Institutional Biosafety Committee (IBC) Approval Initiated,3,New Plant Variety (Gene-Edited and GM),Technology Status,
Proof of Potential Economic Viability,3,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Edited/Modified Plant Regenerated,4,New Plant Variety (Gene-Edited and GM),Technology Status,
"Target Traits Confirmed via Sequencing, PCR, or Marker Analysis",4,New Plant Variety (Gene-Edited and GM),Technology Status,
Preliminary Phenotyping under Greenhouse Conducted,4,New Plant Variety (Gene-Edited and GM),Technology Status,
Identified Potential industry Partner for Industry Testing,4,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
Edited/Modified Lines Evaluated in Greenhouse or Actual Field Plots,5,New Plant Variety (Gene-Edited and GM),Technology Status,
Agronomic and Phenotypic Data Collected,5,New Plant Variety (Gene-Edited and GM),Technology Status,
Applied for Regulatory Status Confirmation (RSC) to Department of Agriculture-Bureau of Plant Industry (DA-BPI),5,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Procesing of DA-BPI Biosafety Permit for Confined Field Trials,5,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Contained Field Trial/Confined Test for GM Crops Conducted,5,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Accomplished Initial Business Model Canvas (BMC),5,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,5,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Market Research conducted,5,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Meetings with potential industry partners,5,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
Agreements with industry parters for product testing secured,6,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
Biosfatey Permit Secured,6,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Multi-location Confined Field Trials Conducted,6,New Plant Variety (Gene-Edited and GM),Technology Status,
Engagement with seed growers for seed multiplication tests,6,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
Industry feedback collected,6,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
Regulatory preparation for variety registration initiated,6,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Seed/plant materials production protocol standardized for commercial adoption,7,New Plant Variety (Gene-Edited and GM),Technology Status,
Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing,7,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
"Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)",7,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Secure Letter of Intent for Licensing,7,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
Business Plan crafted,7,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Stable and consistent seed production at industry scale achieved,8,New Plant Variety (Gene-Edited and GM),Technology Status,
Variety officially registered and released,8,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Seed Certification Obtained,8,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
Fairness Opinion Review requested,8,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Technology Licensing Agreement signed,9,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
New plant variety fully commercialized/Variety commercially available to target users,9,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
