questionText,trlLevel,technologyType,category,toolTip
Progeny Produced and Screened for Presence of Target Traits,3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Breeding Events Documented,3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Reassess Industry Relevance,3,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
"Progeny Raised Under Controlled Conditions (Hatchery, Nursery, Farm, or Experimental Facility)",4,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Target Traits Confirmed in Progeny (Growth, Disease Resistance, Environmental Tolerance)",4,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Market Viability Assessed using At least Secondary Data,4,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Stable Lines/Strain or Family Groups Selected,5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Preliminary Field Trials Conducted in Controlled Farm/Aquaculture Plots
",5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Data Collected for Growth, Survivability, Product Quality, and Adaptability",5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Initial Meeting with Potential Industry Partners,5,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Agreement with Industry Partners for Product Testing Secured,6,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Multi-location Trials Conducted Across Diverse Environmental Conditions,6,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Engagement with Farms/Aquaculture Operators for Breeding and Performance Testing,6,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Industry Feedback Collected,6,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Regulatory Preparation for Breed Registration or Approval Initiated,6,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Protocols Standardized for Propagation of New Breed/Strain,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Engagement with Breeding Partners or Commercial Operators,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Processing of Requirements for Bureau of Animal Industry (BAI) or Philippine Carabao Center (PCC) or National Dairy Authority (NDA) Approval/Certification Initiated,7,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Letter of Intent for Licensing Secured,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Freedom to Operate (FTO) Report Prepared,7,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
IP Valuation,7,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Technology Commercialization Plan,7,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Stable and Consistent Breeding Achieved at Industry Scale,8,New Animal Breed (Aquatic and Terrestrial),Technology Status,
BAI/PCC/NDA Approval/Certification Secured,8,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Fairness Opinion Review Requested,8,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Technology Licensing Agreement Signed,9,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
New Animal Breed Fully Commercialized/Breed Commercially Available to Target Users,9,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Concept Development or Breeding Objectives Identified or Prior Art Search Conducted,1,New Plant Variety (Conventional),Technology Status,
Potential End-users and Target Markets Identified,1,New Plant Variety (Conventional),Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Bioinformatic Analysis of Gene Function/In-silico Studies Conducted,1,New Plant Variety (Conventional),Technology Status,
Germplasm Collected,2,New Plant Variety (Conventional),Technology Status,
Marker Developed/Gene Identified,2,New Plant Variety (Conventional),Technology Status,
"Molecular Construct Planned (CRISPR, RNAi)",2,New Plant Variety (Conventional),Technology Status,
"Preliminary Market Requirements Considered (Trait Relevance, Consumer/End-user Needs)",2,New Plant Variety (Conventional),Market and Commercialization Status,
Genetic Modification Designs Developed (CRISPR/RNAi Constructs),3,New Plant Variety (Conventional),Technology Status,
Transformation or Gene Editing in Laboratory or Growth Chamber Conducted,3,New Plant Variety (Conventional),Technology Status,
Institutional Biosafety Committee (IBC) Approval Initiated,3,New Plant Variety (Conventional),Regulatory Compliance Status,
Reassess Industry Relevance,3,New Plant Variety (Conventional),Industry Adoption Status,
Edited/Modified Plant Regenerated,4,New Plant Variety (Conventional),Technology Status,
"Target Traits Confirmed via Sequencing, PCR, or Marker Analysis",4,New Plant Variety (Conventional),Technology Status,
Preliminary Phenotyping under Greenhouse Conducted,4,New Plant Variety (Conventional),Technology Status,
Market Viability Assessed using At least Secondary Data,4,New Plant Variety (Conventional),Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,New Plant Variety (Conventional),Industry Adoption Status,
Edited/Modified Lines Evaluated in Greenhouse or Actual Field Plots,5,New Plant Variety (Conventional),Technology Status,
Agronomic and Phenotypic Data Collected,5,New Plant Variety (Conventional),Technology Status,
Applied for Regulatory Status Confirmation (RSC) to Department of Agriculture-Bureau of Plant Industry (DA-BPI),5,New Plant Variety (Conventional),Regulatory Compliance Status,
Processing of DA-BPI Biosafety Permit for Confined Field Trials Initiated,5,New Plant Variety (Conventional),Regulatory Compliance Status,
Contained Field Trial/Confined Test for GM Crops Conducted,5,New Plant Variety (Conventional),Technology Status,
Initial Meeting with Potential Industry Partners,5,New Plant Variety (Conventional),Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,New Plant Variety (Conventional),Market and Commercialization Status,
Agreement with Industry Partners for Product Testing Secured,6,New Plant Variety (Conventional),Industry Adoption Status,
Biosafety Permit Secured,6,New Plant Variety (Conventional),Regulatory Compliance Status,
Multi-location Confined Field Trials Conducted,6,New Plant Variety (Conventional),Technology Status,
Engagement with Seed Growers for Seed Multiplication Tests,6,New Plant Variety (Conventional),Industry Adoption Status,
Industry Feedback Collected,6,New Plant Variety (Conventional),Industry Adoption Status,
Regulatory Preparation for Variety Registration Initiated,6,New Plant Variety (Conventional),Regulatory Compliance Status,
Seed Materials Production Protocol Standardized for Commercial Adoption,7,New Plant Variety (Conventional),Technology Status,
Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for Variety Testing,7,New Plant Variety (Conventional),Regulatory Compliance Status,
"Submitted for Distinctness, Uniformity, Stability, (DUS) Testing (if Plant Variety Protection-eligible)",7,New Plant Variety (Conventional),Regulatory Compliance Status,
Letter of Intent for Licensing Secured,7,New Plant Variety (Conventional),Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,New Plant Variety (Conventional),Industry Adoption Status,
Freedom to Operate (FTO) Report Prepared,7,New Plant Variety (Conventional),Market and Commercialization Status,
IP Valuation,7,New Plant Variety (Conventional),Market and Commercialization Status,
Technology Commercialization Plan,7,New Plant Variety (Conventional),Market and Commercialization Status,
Stable and Consistent Seed Production at Industry Scale Achieved,8,New Plant Variety (Conventional),Technology Status,
Variety Officially Registered and Released,8,New Plant Variety (Conventional),Regulatory Compliance Status,
Seed Certification Obtained,8,New Plant Variety (Conventional),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,New Plant Variety (Conventional),Industry Adoption Status,
Fairness Opinion Review Requested,8,New Plant Variety (Conventional),Market and Commercialization Status,
Technology Licensing Agreement Signed,9,New Plant Variety (Conventional),Industry Adoption Status,
New Plant Variety Fully Commercialized/Variety Commercially Available to Target Users,9,New Plant Variety (Conventional),Market and Commercialization Status,
